"","Food","Calories","Protein","Fat","Glucose","Fibre"
"1","Mustard powder",2289,29.4,39.5,0.1,5
"2","Pepper, black, ground",1156,10.4,3.3,0.2,25.3
"3","Salt substitute, potassium chloride",0,0,0,0,0
"4","Salt, table, iodised",0,0,0,0,0
"5","Salt, table, non-iodised",0,0,0,0,0
"6","Stock, dry powder or cube",900,11.3,8.9,0.1,0
"7","Taco seasoning mix, chilli-based",1010,5.9,4.1,1.1,9.9
"8","Gelatine, all types",1449,84.4,0.4,0,0
"9","Starch, potato",1332,0,0.5,0,5.9
"10","Yeast, dry powder",1126,36.4,5,0,26.9
"11","Beer, high alcohol (5% v/v & above)",174,0.5,0,0,0
"12","Beer, full strength (alcohol 4-4.9% v/v)",152,0.4,0,0,0
"13","Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,0.3,0,0,0
"14","Beer, mid-strength (alcohol 3-3.9% v/v)",128,0.3,0,0,0
"15","Beer, light (alcohol 1- less than 3% v/v)",100,0.2,0,0,0
"16","Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,0,0,0,0
"17","Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,0,0,0,0
"18","Cider, apple (alcohol approximately 4-5% v/v)",209,0,0,1.7,0
"19","Wine, red, cabernet sauvignon",332,0.3,0,0.1,0
"20","Wine, red, merlot",330,0.3,0,0.2,0
"21","Wine, red, pinot noir",321,0.2,0,0.1,0
"22","Wine, red, shiraz",342,0.2,0,0.1,0
"23","Wine, red",335,0.2,0,0.1,0
"24","Wine, red, cooked",121,0.3,0,0.1,0
"25","Wine, rose",289,0.2,0,0.2,0
"26","Wine, white, sauvignon blanc",296,0.2,0,0.1,0
"27","Wine, white, semillon",270,0.2,0,0.1,0
"28","Wine, white, chardonnay",311,0.3,0,0.1,0
"29","Wine, white, riesling",292,0.2,0,0.1,0
"30","Wine, white",301,0.3,0,0.1,0
"31","Wine, white, cooked",107,0.2,0,0.1,0
"32","Wine, white, sparkling",306,0.2,0,0.5,0
"33","Wine, white, sweet dessert style",497,0.4,0,5.6,0
"34","Wine, fortified, port",600,0.2,0,5.1,0
"35","Wine, fortified, sherry, dry style (approximately 1% sugars)",435,0.1,0,0.6,0
"36","Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,0.2,0,4.8,0
"37","Cocoa powder",1307,20.5,15.2,0.4,27.7
"38","Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",1666,12.7,10.4,3.8,9.1
"39","Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",405,4.2,4,0.3,0.8
"40","Beverage base, drinking chocolate, unfortified",1508,5.6,4.8,0,1.5
"41","Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",366,3.5,3.5,0,0.1
"42","Coffee, instant, dry powder or granules",588,18,0.3,0.7,20.6
"43","Coffee, black, from instant coffee powder",5,0.2,0,0,0.2
"44","Coffee, instant, dry powder or granules, decaffeinated",522,18,0.3,0.7,20.6
"45","Coffee, black, from instant coffee powder, decaffeinated",5,0.2,0,0,0.2
"46","Cordial base, 25% citrus fruit juice, regular",606,0,0,13.1,0
"47","Cordial, 25% citrus fruit juice, regular, recommended dilution",142,0,0,3.1,0
"48","Cordial base, 40% citrus fruit juice, regular",659,0.2,0,15.9,0
"49","Cordial, 40% citrus fruit juice, regular, recommended dilution",154,0,0,3.7,0
"50","Fruit drink, apple juice",162,0,0,3.6,0
"51","Fruit drink, orange juice",177,0.2,0,1,0
"52","Juice, apple, commercial, added vitamin C",121,0.2,0,2.1,0.2
"53","Juice, apple & blackcurrant, commercial",163,0.2,0,2.6,0
"54","Juice, lemon",115,0.6,0.2,0.8,2.5
"55","Juice, lime",122,0.8,0.2,0.5,4.1
"56","Juice, orange, commercial",112,0.8,0,1.3,0.3
"57","Juice, orange & mango, commercial",146,0.6,0,2.2,0.2
"58","Mineral water, natural, unflavoured",0,0,0,0,0
"59","Mineral water, citrus flavoured",152,0,0,1.5,0
"60","Soft drink, cola flavour",206,0,0.2,3,0
"61","Soft drink, cola flavour, decaffeinated",206,0,0.2,3,0
"62","Soft drink, cola flavour, intense sweetened or diet",0,0,0,0,0
"63","Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0,0,0,0
"64","Soft drink, energy drink, Red Bull",182,0.1,0,3.6,0
"65","Soft drink, energy drink, V",182,0.1,0,3.6,0
"66","Soft drink, lemonade and fruit flavours",143,0,0,1,0
