"region","age","gender","population"
"SSC21184",0,"M",114
"SSC21184",0,"F",95
"SSC21184",1,"M",88
"SSC21184",1,"F",107
"SSC21184",2,"M",122
"SSC21184",2,"F",120
"SSC21184",3,"M",123
"SSC21184",3,"F",125
"SSC21184",4,"M",114
"SSC21184",4,"F",117
"SSC21184",5,"M",140
"SSC21184",5,"F",147
"SSC21184",6,"M",131
"SSC21184",6,"F",137
"SSC21184",7,"M",127
"SSC21184",7,"F",130
"SSC21184",8,"M",139
"SSC21184",8,"F",157
"SSC21184",9,"M",149
"SSC21184",9,"F",161
"SSC21184",10,"M",139
"SSC21184",10,"F",127
"SSC21184",11,"M",162
"SSC21184",11,"F",149
"SSC21184",12,"M",174
"SSC21184",12,"F",136
"SSC21184",13,"M",150
"SSC21184",13,"F",139
"SSC21184",14,"M",169
"SSC21184",14,"F",163
"SSC21184",15,"M",134
"SSC21184",15,"F",114
"SSC21184",16,"M",176
"SSC21184",16,"F",144
"SSC21184",17,"M",116
"SSC21184",17,"F",152
"SSC21184",18,"M",150
"SSC21184",18,"F",130
"SSC21184",19,"M",120
"SSC21184",19,"F",128
"SSC21184",20,"M",140
"SSC21184",20,"F",128
"SSC21184",21,"M",116
"SSC21184",21,"F",119
"SSC21184",22,"M",122
"SSC21184",22,"F",108
"SSC21184",23,"M",116
"SSC21184",23,"F",128
"SSC21184",24,"M",107
"SSC21184",24,"F",97
"SSC21184",25,"M",109
"SSC21184",25,"F",114
"SSC21184",26,"M",114
"SSC21184",26,"F",114
"SSC21184",27,"M",92
"SSC21184",27,"F",97
"SSC21184",28,"M",107
"SSC21184",28,"F",112
"SSC21184",29,"M",99
"SSC21184",29,"F",88
"SSC21184",30,"M",99
"SSC21184",30,"F",94
"SSC21184",31,"M",109
"SSC21184",31,"F",115
"SSC21184",32,"M",97
"SSC21184",32,"F",148
"SSC21184",33,"M",102
"SSC21184",33,"F",130
"SSC21184",34,"M",112
"SSC21184",34,"F",132
"SSC21184",35,"M",113
"SSC21184",35,"F",125
"SSC21184",36,"M",113
"SSC21184",36,"F",124
"SSC21184",37,"M",140
"SSC21184",37,"F",152
"SSC21184",38,"M",114
"SSC21184",38,"F",163
"SSC21184",39,"M",141
"SSC21184",39,"F",144
"SSC21184",40,"M",131
"SSC21184",40,"F",146
"SSC21184",41,"M",134
"SSC21184",41,"F",161
"SSC21184",42,"M",184
"SSC21184",42,"F",198
"SSC21184",43,"M",154
"SSC21184",43,"F",156
"SSC21184",44,"M",165
"SSC21184",44,"F",164
"SSC21184",45,"M",160
"SSC21184",45,"F",153
"SSC21184",46,"M",163
"SSC21184",46,"F",146
"SSC21184",47,"M",138
"SSC21184",47,"F",156
"SSC21184",48,"M",131
"SSC21184",48,"F",131
"SSC21184",49,"M",125
"SSC21184",49,"F",156
"SSC21184",50,"M",129
"SSC21184",50,"F",142
"SSC21184",51,"M",99
"SSC21184",51,"F",123
"SSC21184",52,"M",125
"SSC21184",52,"F",107
"SSC21184",53,"M",117
"SSC21184",53,"F",122
"SSC21184",54,"M",96
"SSC21184",54,"F",124
"SSC21184",55,"M",101
"SSC21184",55,"F",100
"SSC20858",0,"M",68
"SSC20858",0,"F",72
"SSC20858",1,"M",57
"SSC20858",1,"F",72
"SSC20858",2,"M",56
"SSC20858",2,"F",55
"SSC20858",3,"M",56
"SSC20858",3,"F",65
"SSC20858",4,"M",63
"SSC20858",4,"F",66
"SSC20858",5,"M",67
"SSC20858",5,"F",58
"SSC20858",6,"M",68
